,title,body,answer
0,"표준편차를 평균으로 나눈 것으로, 자료의 측정치 단 위가 서로 다르거나 관찰점 수가 다른 경우 표준편차 값을 서로 비 교하기 어려워지는 문제를 해결하기 위해 사용. 단위가 다른 두 집 단 간의 산포를 비교할 때 가장 적합한 측도는 ?",1. 상관계수/2. 변동계수/3. r2/4. 조절계수,2. 변동계수
1,GMM(Gaussian Mixture Model) 군집분석이 모수를 학습하는 방법은?,1 경사하강법/2 EM알고리즘/3 앙상블 기법/4 최소제곱법,2 EM알고리즘
2,"참긍정률이라고하며, 실제로 긍정인 범주에서 긍정으로 예측한 비율을 무엇이라고 하나.",1 민감도/2 정확도/3 특이도/4 정밀도,1 민감도
3,"인터넷상의 서버에서 데이터 저장, 처리, 네트워크, 콘텐츠 사용 등 서로 다른 물리적인 위치에 존재하는 컴퓨팅 자원을 가상화 기술을 통해 IT 관련 서비스를 한 번에 제공하는 혁신적인 컴퓨팅 기술을 의미하는 단어는?",1 멀티 컴퓨팅/2 클라우드 컴퓨팅/3 체인 컴퓨팅/4 양자컴퓨팅,2 클라우드 컴퓨팅
4,통계의 표본 분포의 표준 편차를 의미하는 단어는?,1. 표본 오차/2. 표본 분산/3. 표준 오차/4. 정규 오차,3. 표준 오차
5,"인공신경망의 한 종류, 코호넨 네트워크에 근간을 두고있으며 차원축소와 군집화를 동시에 수행하는 기법은?",1.SOM/2. CNN/3. 혼합분포군집/4. robustoer cluster,1.SOM
6,주어진 자료에서 단순랜덤 복원추출 방법을 활용하여 동일한 크기의 표본을 여러개 생성하는 샘플링 방법은?,1 배깅/2 부트스트랩/3 홀드아웃/4 집락추출,2 부트스트랩
7,x축을 1- 특이도 y축을 민감도로 그려지는 분류모형 평가용 그래프는?1-,1 roc/ 2 auc/3 classification report/4 heat map,1 roc
8,기업 또는 기관의 전사 차원에서 식별된 다양한 분석과제를 대상으로 제한된 예산과 자원을 효과적으로 수행하기 위해 우선순위를 평가하고 평가 결과에 따른 단계별 군현 로드맵을 수립하는 실행 계획,1. 분석 클라우드 시스템/2. 분석 오버롤 플랜 /3. 데이터 웨어하우스 /4 .분석마스터 플랜,4 .분석마스터 플랜
9,표본 추출 방법 중 질적인 원소들로 구성된 모집단에서 각 계층을 고루 대표할 수 있도록 표본을 추출하는 방법(유사한 원소끼리 층으로 나누어 각 층에서 랜덤 추출),1 층화추출법/2 집락추출법/3 랜덤 추출법/4 동형추출법,1 층화추출법
10,스트리밍 데이터 흐름(Data Flow)을 비동기 방식으로 처리하는 분산형 로그 수집 기술,1 플럼/2 크롭/3 언체킹/4 라우팅,1 플럼
11,"정상성을 만족하는 요인으로 평균값과 분산값은 시간 t에 상관없이 일정해야하며, 공분산은 시간에 의존하지 않고 오직 ( )에만 의존한다. 괄호에 들어갈 단어는?","1, 시차/2. 표준편차/3. 계절성/4. 차분","1, 시차"
12,"빅데이터 저장 기술로 RDBMS와 다른 DBMS를 지칭하기 위한 용어로, 고정된 테이블 스키마가 필요하지 않으며, JOIN 연산을 사용할 수 없는 수평적 확장가능한 DBMS는?",1 SQL/2 Oracle/3 NoSQL/4 Hadop,3 NoSQL
13,모집단을 성격에 따라 집단으로 분류하고 각 집 단 내에서 원하는 크기의 표본을 무작위 추출,1. 랜덤 복원 추출/2. 척화 추출/3. 층화 추출/4. 계통 추출,3. 층화 추출
